bucket,rep,pooled_null_prop_enh,pooled_null_prop_double_flank,pooled_null_prop_duplication,body_hit_enhancers,double_flank_hit_enhancers,duplication_hit_enhancers,total_enhancers
3,37,0.14199890770071,0.01001274349171673,0.002184598580010923,780,55,12,5493
3,38,0.12179137083560895,0.009466593846714,0.0032768978700163844,669,52,18,5493
3,39,0.12579646823229565,0.010194793373384307,0.0030948479883488077,691,56,17,5493
3,40,0.1341707627890042,0.007281995266703077,0.0014563990533406153,737,40,8,5493
3,41,0.12798106681230656,0.009466593846714,0.002184598580010923,703,52,12,5493
3,42,0.1263426178772984,0.007464045148370653,0.002184598580010923,694,41,12,5493
3,43,0.12907336610231204,0.006917895503367923,0.0014563990533406153,709,38,8,5493
3,44,0.13690151101401785,0.008010194793373384,0.0032768978700163844,752,44,18,5493
3,45,0.1252503185872929,0.012561441835062807,0.0023666484616785,688,69,13,5493
3,46,0.13508101219734206,0.007464045148370653,0.0023666484616785,742,41,13,5493
3,47,0.14327325687238304,0.008556344438376115,0.0010922992900054614,787,47,6,5493
3,48,0.13071181503732024,0.010922992900054615,0.004005097396686692,718,60,22,5493
3,49,0.13034771527398506,0.012561441835062807,0.004005097396686692,716,69,22,5493
3,50,0.12597851811396324,0.010922992900054615,0.002184598580010923,692,60,12,5493
3,51,0.1348989623156745,0.008556344438376115,0.0023666484616785,741,47,13,5493
3,52,0.12488621882395777,0.005825596213362461,0.0014563990533406153,686,32,8,5493
3,53,0.12488621882395777,0.008374294556708538,0.0018204988166757691,686,46,10,5493
3,54,0.13071181503732024,0.006735845621700346,0.0034589477516839616,718,37,19,5493
3,55,0.1363553613690151,0.008192244675040962,0.0025486983433460767,749,45,14,5493
3,56,0.12561441835062806,0.009284543965046422,0.002184598580010923,690,51,12,5493
3,57,0.1276169670489714,0.0070999453850355,0.002184598580010923,701,39,12,5493
3,58,0.1247041689422902,0.008010194793373384,0.0025486983433460767,685,44,14,5493
3,59,0.13835791006735845,0.010740943018387038,0.0029127981066812306,760,59,16,5493
3,60,0.1247041689422902,0.009102494083378846,0.0025486983433460767,685,50,14,5493
3,61,0.12270162024394685,0.011105042781722191,0.0032768978700163844,674,61,18,5493
3,62,0.11796832332058985,0.007646095030038231,0.0007281995266703076,648,42,4,5493
3,63,0.1316220644456581,0.008010194793373384,0.0018204988166757691,723,44,10,5493
3,64,0.12889131622064445,0.006735845621700346,0.0014563990533406153,708,37,8,5493
3,65,0.13216821409066085,0.010740943018387038,0.0032768978700163844,726,59,18,5493
3,66,0.12743491716730385,0.010194793373384307,0.0025486983433460767,700,56,14,5493
3,67,0.14381940651738576,0.007646095030038231,0.0010922992900054614,790,42,6,5493
3,68,0.1418168578190424,0.008920444201711269,0.004733296923357,779,49,26,5493
3,69,0.12597851811396324,0.011469142545057346,0.0032768978700163844,692,63,18,5493
3,70,0.12434006917895503,0.008738394320043691,0.0032768978700163844,683,48,18,5493
3,71,0.13544511196067724,0.009466593846714,0.0036409976333515383,744,52,20,5493
3,72,0.12033497178226835,0.010376843255051884,0.002184598580010923,661,57,12,5493
3,73,0.13198616420899326,0.01001274349171673,0.0036409976333515383,725,55,20,5493
3,74,0.12579646823229565,0.0070999453850355,0.0018204988166757691,691,39,10,5493
3,75,0.1299836155106499,0.007281995266703077,0.002184598580010923,714,40,12,5493
3,76,0.12033497178226835,0.008738394320043691,0.0018204988166757691,661,48,10,5493
3,77,0.1394502093573639,0.008374294556708538,0.0025486983433460767,766,46,14,5493
3,78,0.127799016930639,0.008374294556708538,0.0014563990533406153,702,46,8,5493
3,79,0.13453486255233935,0.009648643728381576,0.0034589477516839616,739,53,19,5493
3,80,0.12670671764063354,0.007464045148370653,0.0010922992900054614,696,41,6,5493
3,81,0.12798106681230656,0.009102494083378846,0.0029127981066812306,703,50,16,5493
3,82,0.12506826870562535,0.007646095030038231,0.002184598580010923,687,42,12,5493
3,83,0.12834516657564174,0.009648643728381576,0.002730748225013654,705,53,15,5493
3,84,0.1381758601856909,0.007646095030038231,0.0018204988166757691,759,42,10,5493
3,85,0.1285272164573093,0.008738394320043691,0.0014563990533406153,706,48,8,5493
3,86,0.13435281267067176,0.008374294556708538,0.0014563990533406153,738,46,8,5493
3,87,0.1387220098306936,0.0118332423083925,0.004005097396686692,762,65,22,5493
3,88,0.12670671764063354,0.006189695976697615,0.0018204988166757691,696,34,10,5493
3,89,0.12652466775896595,0.008738394320043691,0.0010922992900054614,695,48,6,5493
3,90,0.13453486255233935,0.008556344438376115,0.0016384489350081922,739,47,9,5493
3,91,0.1294374658656472,0.011105042781722191,0.002184598580010923,711,61,12,5493
3,92,0.12397596941561988,0.008374294556708538,0.002184598580010923,681,46,12,5493
3,93,0.13307846349899874,0.007464045148370653,0.0014563990533406153,731,41,8,5493
3,94,0.12889131622064445,0.008010194793373384,0.0016384489350081922,708,44,9,5493
3,95,0.14017840888403424,0.009284543965046422,0.0025486983433460767,770,51,14,5493
3,96,0.13034771527398506,0.008738394320043691,0.002184598580010923,716,48,12,5493
3,97,0.11851447296559257,0.011287092663389769,0.0029127981066812306,651,62,16,5493
3,98,0.12251957036227927,0.008374294556708538,0.0025486983433460767,673,46,14,5493
3,99,0.1237939195339523,0.008010194793373384,0.0018204988166757691,680,44,10,5493
