bucket,rep,pooled_null_prop_enh,pooled_null_prop_double_flank,pooled_null_prop_duplication,body_hit_enhancers,double_flank_hit_enhancers,duplication_hit_enhancers,total_enhancers
>=4,79,0.210421888053467,0.0216687552213868,0.005169172932330827,4030,415,99,19152
>=4,80,0.21336881653099563,0.024733876017532873,0.006000834898768524,4089,474,115,19164
>=4,81,0.21236951983298538,0.020511482254697285,0.0058977035490605425,4069,393,113,19160
>=4,82,0.21221294363256785,0.023225469728601254,0.005480167014613779,4066,445,105,19160
>=4,83,0.21137787056367432,0.0232776617954071,0.005584551148225469,4050,446,107,19160
>=4,84,0.2134579244101065,0.02453539361035707,0.006368761745667154,4089,470,122,19156
>=4,85,0.21518062225934434,0.02370014616830236,0.005846732094382961,4122,454,112,19156
>=4,86,0.21431926107603194,0.0246829828314982,0.00730574544695507,4107,473,140,19163
>=4,87,0.21532199144139444,0.024110218140068886,0.0057405281285878304,4126,462,110,19162
>=4,88,0.21238845692219382,0.023117465950007826,0.00558367687731566,4070,443,107,19163
>=4,89,0.21654488517745302,0.020615866388308975,0.0057933194154488514,4149,395,111,19160
>=4,90,0.2157026519106285,0.023491334307788683,0.006316558780538734,4132,450,121,19156
>=4,91,0.21349488197200753,0.023031125966158344,0.004752454564445373,4088,441,91,19148
>=4,92,0.21280592809059123,0.022647810885560716,0.005740228565464698,4078,434,110,19163
>=4,93,0.21041644922241937,0.021187767456424172,0.004957728838325853,4032,406,95,19162
>=4,94,0.2111198120595145,0.023492560689115115,0.004907334899504046,4044,450,94,19155
>=4,95,0.21150133068934926,0.022595626989511036,0.004331263372123363,4053,433,83,19163
>=4,96,0.2092052392631634,0.023795856598653655,0.005844596357564056,4009,456,112,19163
>=4,97,0.21612027563165587,0.023334725412403425,0.006212152850281896,4140,447,119,19156
>=4,98,0.210421888053467,0.023966165413533833,0.007153299916457811,4030,459,137,19152
>=4,99,0.21189979123173278,0.021450939457202504,0.005167014613778706,4060,411,99,19160
