group	te_class	obs_count	obs_total	ref_count	ref_total	obs_prop	ref_prop	log2_obs_over_ref	log2_odds_ratio	chi2	p_value	direction	q_value	label	tissue
shadows	SINE	80	464	21168	41213	0.1724137931034483	0.5136243418338874	-1.5748383764966227	-2.3345635499913184	213.76096031197457	2.076656463550957e-48	depleted	8.306625854203827e-48	***	limb
shadows	SINE	283	2239	110036	205108	0.12639571237159447	0.536478343116797	-2.0855723989771215	-2.9977366239886956	1495.993833682053	0.0	depleted	0.0	***	pooled
shadows	TIR	36	499	2586	43196	0.07214428857715431	0.05986665431984443	0.26913253507294227	0.3061787235583015	1.318305588286894	0.25089637112720964	enriched	0.25089637112720964	ns	forebrain
shadows	TIR	80	1276	6118	120699	0.06269592476489028	0.050688075294741466	0.30672528185889997	0.33336450799743295	3.774694246622648	0.052033409881498356	enriched	0.052033409881498356	ns	heart
shadows	TIR	46	464	2493	41213	0.09913793103448276	0.06049062189115085	0.7127256486039315	0.7869284727772323	11.979145835163045	0.0005379923867285954	enriched	0.0005379923867285954	***	limb
shadows	TIR	162	2239	11197	205108	0.07235372934345691	0.054590752189090624	0.40641079764870636	0.4378129405471227	13.495730074807243	0.00023910692172660037	enriched	0.00023910692172660037	***	pooled
singles	LTR	129	233	5625	23195	0.5536480686695279	0.2425091614572106	1.1909299521711751	1.9525511667012627	120.52841601737673	4.8467535494522285e-28	enriched	9.693507098904457e-28	***	forebrain
singles	LTR	232	425	9723	40486	0.5458823529411765	0.24015709134021637	1.184611646632388	1.9265691852281088	213.50617701767973	2.3601888358509104e-48	enriched	4.720377671701821e-48	***	heart
singles	LTR	114	206	4843	20027	0.5533980582524272	0.24182353822339842	1.1943629004017613	1.9562998845655988	107.01353254334626	4.421399608101429e-25	enriched	8.842799216202858e-25	***	limb
singles	LTR	475	864	20191	83708	0.5497685185185185	0.24120753094088976	1.1885493410625847	1.9412280524596044	440.9519635363276	6.718352200482602e-98	enriched	1.3436704400965204e-97	***	pooled
singles	LINE	56	233	3170	23195	0.24034334763948498	0.13666738521233024	0.8144278735601449	1.0075597305993786	20.882521377164018	4.883302413563165e-06	enriched	6.511069884750886e-06	***	forebrain
singles	LINE	126	425	6207	40486	0.2964705882352941	0.15331225608852442	0.9514159492830518	1.2218431868779045	65.88063827678624	4.79074879786048e-16	enriched	6.387665063813974e-16	***	heart
singles	LINE	54	206	3040	20027	0.2621359223300971	0.1517950766465272	0.7881900670294758	0.9976119486807385	19.16506197332796	1.1988773344426928e-05	enriched	1.598503112590257e-05	***	limb
singles	LINE	236	864	12417	83708	0.27314814814814814	0.14833707650403785	0.8808043965376651	1.111282768267817	104.70716121851115	1.4158839386832642e-24	enriched	1.8878452515776855e-24	***	pooled
singles	SINE	36	233	13448	23195	0.15450643776824036	0.5797801250269454	-1.9078389198618422	-2.9002253979005514	170.78222960609065	4.992544906431412e-39	depleted	1.9970179625725647e-38	***	forebrain
singles	SINE	39	425	22749	40486	0.09176470588235294	0.5618979400286519	-2.6142968153757424	-3.6495760088414952	376.73806315625967	6.384753149299383e-84	depleted	2.5539012597197533e-83	***	heart
singles	SINE	23	206	11237	20027	0.11165048543689321	0.561092525091127	-2.329249159153145	-3.319351384193596	166.88401010482954	3.546221436201626e-38	depleted	1.4184885744806504e-37	***	limb
singles	SINE	98	864	47434	83708	0.11342592592592593	0.566660295312276	-2.320733672387845	-3.3470711735871697	713.6674905710129	3.1890339911656636e-157	depleted	1.2756135964662654e-156	***	pooled
singles	TIR	12	233	952	23195	0.05150214592274678	0.04104332830351369	0.32748481135792223	0.39821421142110724	0.6395677678181855	0.42386735803513076	enriched	0.42386735803513076	ns	forebrain
singles	TIR	28	425	1807	40486	0.06588235294117648	0.04463271254260732	0.5617905816755823	0.6175805572896169	4.432930235755387	0.035251937798297946	enriched	0.035251937798297946	*	heart
singles	TIR	15	206	907	20027	0.07281553398058252	0.04528886003894742	0.6850900202351705	0.7700745253344037	3.552345446872997	0.059461345042261755	enriched	0.059461345042261755	ns	limb
singles	TIR	55	864	3666	83708	0.06365740740740741	0.043795097242796385	0.5395590182775998	0.5818193797856221	8.020875259831747	0.004624121752659388	enriched	0.004624121752659388	**	pooled
